"tic","invest"
"VVI",1090.23
"WAL",1087.66
"WARM",1096.27
"WBC",1231.05
"WCB.",1095.02
"WCRS",1078.34
"WCUI",1094.85
"WEB",1087.35
"WEIN",1069
"WEX",1125.9
"WFCF",1093.48
"WHYRF",1094.88
"WIN",1096.46
"WISH",1094.08
"WLDN",1104.2
"WLK",1133.82
"WMK.H",1094.95
"WNS",1119.96
"WONEF",1091.16
"WPZ",1046.93
"WRN",1091.81
"WSBF",1090.06
"WU",1096.87
"WYN",1072.18
"XEBEF",1094.91
"XIN",1100.49
"XPLT",1094.4
"YEWB",1095.18
"YGE",1098.24
"YGRAF",1092.83
"YTEN",1097.58
"YUSG",1097.77
"YWRLF",1094.59
"ZAGG",1119.92
"ZCRMF",1095.81
"ZGSI",1093.95
"ZIOP",1102.28
"ZMMDF",1094.95
"ZN",1096.23
"ZNNMF",1095.61
"ZUMZ",1087.46
"ZZZOF",1096.1
